name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york city,2015-02-27,-1.2,-7.6,-4.7,-5.3,-14.5,-9.1,-15.6,43.3,0,0,0,,0,12,38.9,25.9,327.1,1028.3,28.4,16,187.5,16.2,7,,2015-02-27T06:33:21,2015-02-27T17:44:47,0.3,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-28,-1.8,-9.8,-5.5,-2,-15.5,-8.6,-18.4,35.9,0,0,0,,1,12.3,37.1,29.5,314.2,1040.9,8.3,16,204.7,17.8,7,,2015-02-28T06:31:50,2015-02-28T17:45:56,0.33,Clear,Clear conditions throughout the day.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-03-01,-1.2,-4,-2.7,-2.2,-7,-3.8,-11.5,55,12.947,100,33.33,snow,4.7,13.8,31.7,13.3,225.4,1033.4,77.6,10.2,52.3,4.5,2,,2015-03-01T06:30:19,2015-03-01T17:47:04,0.36,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-03-02,3.4,-2,0.6,-0.1,-7.7,-3.2,-8.1,55.4,0,0,0,,2.9,19.3,50.4,27.9,306.5,1020.9,49.6,14,163.4,14,7,,2015-03-02T06:28:47,2015-03-02T17:48:12,0.4,Partially cloudy,Clearing in the afternoon.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-03-03,2.2,-4.8,-1.7,-1.3,-8.2,-5.1,-8.9,59.8,17.05,100,33.33,"rain,snow",0.1,19.9,37.4,18.6,189.4,1025.2,54.3,12.1,84.8,7.4,3,,2015-03-03T06:27:14,2015-03-03T17:49:20,0.43,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-03-04,7.5,2.2,4.6,6.8,-1.6,2.1,1.7,81.1,4.883,100,33.33,rain,0,12.3,34.3,14.8,237.2,1010.4,99.1,9.2,60.1,5.1,2,,2015-03-04T06:25:41,2015-03-04T17:50:28,0.46,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-03-05,4.5,-6.4,-2.7,1.5,-12.7,-6.8,-5.5,81.8,20.141,100,79.17,"rain,snow",2.6,8.4,36.1,20.4,323.5,1019.6,95.6,4.5,93.3,8.1,5,,2015-03-05T06:24:07,2015-03-05T17:51:35,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-03-06,-3.2,-10.3,-6.6,-3.3,-17.5,-11.1,-15.9,48.4,0,0,0,,1.5,11.3,47.9,25.9,320.2,1031.2,8.7,15.2,230.6,19.8,8,,2015-03-06T06:22:32,2015-03-06T17:52:42,0.53,Clear,Clear conditions throughout the day.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-03-07,3.4,-7.4,-1.7,3.4,-12.7,-5.4,-11.8,46.6,0,0,0,,0,10.9,39.8,20.5,252.9,1022.3,37.8,15.6,216.9,18.7,8,,2015-03-07T06:20:57,2015-03-07T17:53:49,0.57,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-03-08,9.1,3.2,5.7,7.2,0.2,3.8,-5.4,45.3,0,0,0,,0,9.5,46.4,29.5,285.1,1018,64.2,15.7,205.7,17,7,,2015-03-08T07:19:22,2015-03-08T18:54:55,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
